Handle,Title,Body (HTML),Option1 Name,Option1 Value
esmalte-masglox7ml-semi-juiciosa,ESMALTE MASGLOx7ml SEMIPERMANENTE JUICIOSA,"<p><strong>Esmalte Masglo 7 ml Semipermanente Juiciosa</strong></p><p>Este esmalte semipermanente de Masglo de la línea Semipermanente Juiciosa en presentación de 7 ml mantiene color y brillo de salón durante semanas, sin descascarados a los dos días.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dura entre 2 y 3 semanas con brillo de primer día.</li><li>Se seca en lámpara al instante: no hay riesgo de arruinarla buscando las llaves.</li><li>Color intenso y parejo, con acabado de gel.</li><li>Suma resistencia a la uña natural mientras lo llevás puesto.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Preparación: empujá cutícula, limá el brillo de la superficie y deshidratá la uña.</li><li>Aplicá base y curá en lámpara UV/LED el tiempo que indique el fabricante.</li><li>Aplicá dos capas finas de color, curando entre cada una.</li><li>Sellá con top coat, curá y retirá la capa pegajosa con limpiador si el producto lo requiere.</li></ol><p><strong>Ideal para:</strong> manicura de larga duración y trabajo profesional.</p><p><strong>Tip Krika:</strong> Capas finas siempre: una capa gruesa no cura bien por dentro y se levanta a los pocos días.</p><p><strong>Información del fabricante</strong></p><p>-Formulación 10 free.</p><p>-Seca en 60 segundos en la lámpara UV LED.</p><p>-Alta pigmentación.</p><p>-Hasta 30 días de duración.</p><p>-Fácil aplicación: Textura homogénea, fácil de aplicar y nivelar, sin recogimiento.</p><p>-Fácil Remoción: Remueve aproximadamente en 10 minutos sin maltratar la lámina de la uña.</p><p>-Brocha plana.</p><p>-No requiere preparadores. (Ni limpiador del sistema, ni Balanceador de Ph, ni Ultrabond).</p>",Title,Default Title
esmalte-masglox7ml-semi-zangana,ESMALTE MASGLOx7ml SEMIPERMANENTE ZANGANA,"<p><strong>Esmalte Masglo 7 ml Semipermanente Zangana</strong></p><p>Este esmalte semipermanente de Masglo de la línea Semipermanente Zangana en presentación de 7 ml mantiene color y brillo de salón durante semanas, sin descascarados a los dos días.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dura entre 2 y 3 semanas con brillo de primer día.</li><li>Se seca en lámpara al instante: no hay riesgo de arruinarla buscando las llaves.</li><li>Color intenso y parejo, con acabado de gel.</li><li>Suma resistencia a la uña natural mientras lo llevás puesto.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Preparación: empujá cutícula, limá el brillo de la superficie y deshidratá la uña.</li><li>Aplicá base y curá en lámpara UV/LED el tiempo que indique el fabricante.</li><li>Aplicá dos capas finas de color, curando entre cada una.</li><li>Sellá con top coat, curá y retirá la capa pegajosa con limpiador si el producto lo requiere.</li></ol><p><strong>Ideal para:</strong> manicura de larga duración y trabajo profesional.</p><p><strong>Tip Krika:</strong> Capas finas siempre: una capa gruesa no cura bien por dentro y se levanta a los pocos días.</p><p><strong>Información del fabricante</strong></p><p>-Formulación 10 free.</p><p>-Seca en 60 segundos en la lámpara UV LED.</p><p>-Alta pigmentación.</p><p>-Hasta 30 días de duración.</p><p>-Fácil aplicación: Textura homogénea, fácil de aplicar y nivelar, sin recogimiento.</p><p>-Fácil Remoción: Remueve aproximadamente en 10 minutos sin maltratar la lámina de la uña.</p><p>-Brocha plana.</p><p>-No requiere preparadores. (Ni limpiador del sistema, ni Balanceador de Ph, ni Ultrabond).</p>",Title,Default Title
esmalte-masglox7ml-semi-negro,ESMALTE MASGLOx7ml SEMIPERMANENTE NEGRO,"<p><strong>Esmalte Masglo 7 ml Semipermanente Negro</strong></p><p>Este esmalte semipermanente de Masglo de la línea Semipermanente Negro en presentación de 7 ml mantiene color y brillo de salón durante semanas, sin descascarados a los dos días.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dura entre 2 y 3 semanas con brillo de primer día.</li><li>Se seca en lámpara al instante: no hay riesgo de arruinarla buscando las llaves.</li><li>Color intenso y parejo, con acabado de gel.</li><li>Suma resistencia a la uña natural mientras lo llevás puesto.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Preparación: empujá cutícula, limá el brillo de la superficie y deshidratá la uña.</li><li>Aplicá base y curá en lámpara UV/LED el tiempo que indique el fabricante.</li><li>Aplicá dos capas finas de color, curando entre cada una.</li><li>Sellá con top coat, curá y retirá la capa pegajosa con limpiador si el producto lo requiere.</li></ol><p><strong>Ideal para:</strong> manicura de larga duración y trabajo profesional.</p><p><strong>Tip Krika:</strong> Capas finas siempre: una capa gruesa no cura bien por dentro y se levanta a los pocos días.</p><p><strong>Información del fabricante</strong></p><p>-Formulación 10 free.</p><p>-Seca en 60 segundos en la lámpara UV LED.</p><p>-Alta pigmentación.</p><p>-Hasta 30 días de duración.</p><p>-Fácil aplicación: Textura homogénea, fácil de aplicar y nivelar, sin recogimiento.</p><p>-Fácil Remoción: Remueve aproximadamente en 10 minutos sin maltratar la lámina de la uña.</p><p>-Brocha plana.</p><p>-No requiere preparadores. (Ni limpiador del sistema, ni Balanceador de Ph, ni Ultrabond).</p>",Title,Default Title
esmalte-masglox7ml-semi-constante,ESMALTE MASGLOx7ml SEMIPERMANENTE CONSTANTE,"<p><strong>Esmalte Masglo 7 ml Semipermanente Constante</strong></p><p>Este esmalte semipermanente de Masglo de la línea Semipermanente Constante en presentación de 7 ml mantiene color y brillo de salón durante semanas, sin descascarados a los dos días.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dura entre 2 y 3 semanas con brillo de primer día.</li><li>Se seca en lámpara al instante: no hay riesgo de arruinarla buscando las llaves.</li><li>Color intenso y parejo, con acabado de gel.</li><li>Suma resistencia a la uña natural mientras lo llevás puesto.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Preparación: empujá cutícula, limá el brillo de la superficie y deshidratá la uña.</li><li>Aplicá base y curá en lámpara UV/LED el tiempo que indique el fabricante.</li><li>Aplicá dos capas finas de color, curando entre cada una.</li><li>Sellá con top coat, curá y retirá la capa pegajosa con limpiador si el producto lo requiere.</li></ol><p><strong>Ideal para:</strong> manicura de larga duración y trabajo profesional.</p><p><strong>Tip Krika:</strong> Capas finas siempre: una capa gruesa no cura bien por dentro y se levanta a los pocos días.</p><p><strong>Información del fabricante</strong></p><p>-Formulación 10 free.</p><p>-Seca en 60 segundos en la lámpara UV LED.</p><p>-Alta pigmentación.</p><p>-Hasta 30 días de duración.</p><p>-Fácil aplicación: Textura homogénea, fácil de aplicar y nivelar, sin recogimiento.</p><p>-Fácil Remoción: Remueve aproximadamente en 10 minutos sin maltratar la lámina de la uña.</p><p>-Brocha plana.</p><p>-No requiere preparadores. (Ni limpiador del sistema, ni Balanceador de Ph, ni Ultrabond).</p>",Title,Default Title
esmalte-masglox7ml-semi-despistada,ESMALTE MASGLOx7ml SEMIPERMANENTE DESPISTADA,"<p><strong>Esmalte Masglo 7 ml Semipermanente Despistada</strong></p><p>Este esmalte semipermanente de Masglo de la línea Semipermanente Despistada en presentación de 7 ml mantiene color y brillo de salón durante semanas, sin descascarados a los dos días.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dura entre 2 y 3 semanas con brillo de primer día.</li><li>Se seca en lámpara al instante: no hay riesgo de arruinarla buscando las llaves.</li><li>Color intenso y parejo, con acabado de gel.</li><li>Suma resistencia a la uña natural mientras lo llevás puesto.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Preparación: empujá cutícula, limá el brillo de la superficie y deshidratá la uña.</li><li>Aplicá base y curá en lámpara UV/LED el tiempo que indique el fabricante.</li><li>Aplicá dos capas finas de color, curando entre cada una.</li><li>Sellá con top coat, curá y retirá la capa pegajosa con limpiador si el producto lo requiere.</li></ol><p><strong>Ideal para:</strong> manicura de larga duración y trabajo profesional.</p><p><strong>Tip Krika:</strong> Capas finas siempre: una capa gruesa no cura bien por dentro y se levanta a los pocos días.</p><p><strong>Información del fabricante</strong></p><p>-Formulación 10 free.</p><p>-Seca en 60 segundos en la lámpara UV LED.</p><p>-Alta pigmentación.</p><p>-Hasta 30 días de duración.</p><p>-Fácil aplicación: Textura homogénea, fácil de aplicar y nivelar, sin recogimiento.</p><p>-Fácil Remoción: Remueve aproximadamente en 10 minutos sin maltratar la lámina de la uña.</p><p>-Brocha plana.</p><p>-No requiere preparadores. (Ni limpiador del sistema, ni Balanceador de Ph, ni Ultrabond).</p>",Title,Default Title
esmalte-masglox7ml-semi-fiesta,ESMALTE MASGLOx7ml SEMIPERMANENTE FIESTA,"<p><strong>Esmalte Masglo 7 ml Semipermanente Fiesta</strong></p><p>Este esmalte semipermanente de Masglo de la línea Semipermanente Fiesta en presentación de 7 ml mantiene color y brillo de salón durante semanas, sin descascarados a los dos días.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dura entre 2 y 3 semanas con brillo de primer día.</li><li>Se seca en lámpara al instante: no hay riesgo de arruinarla buscando las llaves.</li><li>Color intenso y parejo, con acabado de gel.</li><li>Suma resistencia a la uña natural mientras lo llevás puesto.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Preparación: empujá cutícula, limá el brillo de la superficie y deshidratá la uña.</li><li>Aplicá base y curá en lámpara UV/LED el tiempo que indique el fabricante.</li><li>Aplicá dos capas finas de color, curando entre cada una.</li><li>Sellá con top coat, curá y retirá la capa pegajosa con limpiador si el producto lo requiere.</li></ol><p><strong>Ideal para:</strong> manicura de larga duración y trabajo profesional.</p><p><strong>Tip Krika:</strong> Capas finas siempre: una capa gruesa no cura bien por dentro y se levanta a los pocos días.</p><p><strong>Información del fabricante</strong></p><p>-Formulación 10 free.</p><p>-Seca en 60 segundos en la lámpara UV LED.</p><p>-Alta pigmentación.</p><p>-Hasta 30 días de duración.</p><p>-Fácil aplicación: Textura homogénea, fácil de aplicar y nivelar, sin recogimiento.</p><p>-Fácil Remoción: Remueve aproximadamente en 10 minutos sin maltratar la lámina de la uña.</p><p>-Brocha plana.</p><p>-No requiere preparadores. (Ni limpiador del sistema, ni Balanceador de Ph, ni Ultrabond).</p>",Title,Default Title
esmalte-masglox7ml-semi-pensativa,ESMALTE MASGLOx7ml SEMIPERMANENTE PENSATIVA,"<p><strong>Esmalte Masglo 7 ml Semipermanente Pensativa</strong></p><p>Este esmalte semipermanente de Masglo de la línea Semipermanente Pensativa en presentación de 7 ml mantiene color y brillo de salón durante semanas, sin descascarados a los dos días.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dura entre 2 y 3 semanas con brillo de primer día.</li><li>Se seca en lámpara al instante: no hay riesgo de arruinarla buscando las llaves.</li><li>Color intenso y parejo, con acabado de gel.</li><li>Suma resistencia a la uña natural mientras lo llevás puesto.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Preparación: empujá cutícula, limá el brillo de la superficie y deshidratá la uña.</li><li>Aplicá base y curá en lámpara UV/LED el tiempo que indique el fabricante.</li><li>Aplicá dos capas finas de color, curando entre cada una.</li><li>Sellá con top coat, curá y retirá la capa pegajosa con limpiador si el producto lo requiere.</li></ol><p><strong>Ideal para:</strong> manicura de larga duración y trabajo profesional.</p><p><strong>Tip Krika:</strong> Capas finas siempre: una capa gruesa no cura bien por dentro y se levanta a los pocos días.</p><p><strong>Información del fabricante</strong></p><p>-Formulación 10 free.</p><p>-Seca en 60 segundos en la lámpara UV LED.</p><p>-Alta pigmentación.</p><p>-Hasta 30 días de duración.</p><p>-Fácil aplicación: Textura homogénea, fácil de aplicar y nivelar, sin recogimiento.</p><p>-Fácil Remoción: Remueve aproximadamente en 10 minutos sin maltratar la lámina de la uña.</p><p>-Brocha plana.</p><p>-No requiere preparadores. (Ni limpiador del sistema, ni Balanceador de Ph, ni Ultrabond).</p>",Title,Default Title
esmalte-masglox7ml-semi-golosa,ESMALTE MASGLOx7ml SEMIPERMANENTE GOLOSA,"<p><strong>Esmalte Masglo 7 ml Semipermanente Golosa</strong></p><p>Este esmalte semipermanente de Masglo de la línea Semipermanente Golosa en presentación de 7 ml mantiene color y brillo de salón durante semanas, sin descascarados a los dos días.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dura entre 2 y 3 semanas con brillo de primer día.</li><li>Se seca en lámpara al instante: no hay riesgo de arruinarla buscando las llaves.</li><li>Color intenso y parejo, con acabado de gel.</li><li>Suma resistencia a la uña natural mientras lo llevás puesto.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Preparación: empujá cutícula, limá el brillo de la superficie y deshidratá la uña.</li><li>Aplicá base y curá en lámpara UV/LED el tiempo que indique el fabricante.</li><li>Aplicá dos capas finas de color, curando entre cada una.</li><li>Sellá con top coat, curá y retirá la capa pegajosa con limpiador si el producto lo requiere.</li></ol><p><strong>Ideal para:</strong> manicura de larga duración y trabajo profesional.</p><p><strong>Tip Krika:</strong> Capas finas siempre: una capa gruesa no cura bien por dentro y se levanta a los pocos días.</p><p><strong>Información del fabricante</strong></p><p>-Formulación 10 free.</p><p>-Seca en 60 segundos en la lámpara UV LED.</p><p>-Alta pigmentación.</p><p>-Hasta 30 días de duración.</p><p>-Fácil aplicación: Textura homogénea, fácil de aplicar y nivelar, sin recogimiento.</p><p>-Fácil Remoción: Remueve aproximadamente en 10 minutos sin maltratar la lámina de la uña.</p><p>-Brocha plana.</p><p>-No requiere preparadores. (Ni limpiador del sistema, ni Balanceador de Ph, ni Ultrabond).</p>",Title,Default Title
esmalte-masglox7ml-semi-gomela,ESMALTE MASGLOx7ml SEMIPERMANENTE GOMELA,"<p><strong>Esmalte Masglo 7 ml Semipermanente Gomela</strong></p><p>Este esmalte semipermanente de Masglo de la línea Semipermanente Gomela en presentación de 7 ml mantiene color y brillo de salón durante semanas, sin descascarados a los dos días.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dura entre 2 y 3 semanas con brillo de primer día.</li><li>Se seca en lámpara al instante: no hay riesgo de arruinarla buscando las llaves.</li><li>Color intenso y parejo, con acabado de gel.</li><li>Suma resistencia a la uña natural mientras lo llevás puesto.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Preparación: empujá cutícula, limá el brillo de la superficie y deshidratá la uña.</li><li>Aplicá base y curá en lámpara UV/LED el tiempo que indique el fabricante.</li><li>Aplicá dos capas finas de color, curando entre cada una.</li><li>Sellá con top coat, curá y retirá la capa pegajosa con limpiador si el producto lo requiere.</li></ol><p><strong>Ideal para:</strong> manicura de larga duración y trabajo profesional.</p><p><strong>Tip Krika:</strong> Capas finas siempre: una capa gruesa no cura bien por dentro y se levanta a los pocos días.</p><p><strong>Información del fabricante</strong></p><p>-Formulación 10 free.</p><p>-Seca en 60 segundos en la lámpara UV LED.</p><p>-Alta pigmentación.</p><p>-Hasta 30 días de duración.</p><p>-Fácil aplicación: Textura homogénea, fácil de aplicar y nivelar, sin recogimiento.</p><p>-Fácil Remoción: Remueve aproximadamente en 10 minutos sin maltratar la lámina de la uña.</p><p>-Brocha plana.</p><p>-No requiere preparadores. (Ni limpiador del sistema, ni Balanceador de Ph, ni Ultrabond).</p>",Title,Default Title
esmalte-masglox7ml-semi-sociable,ESMALTE MASGLOx7ml SEMIPERMANENTE SOCIABLE,"<p><strong>Esmalte Masglo 7 ml Semipermanente Sociable</strong></p><p>Este esmalte semipermanente de Masglo de la línea Semipermanente Sociable en presentación de 7 ml mantiene color y brillo de salón durante semanas, sin descascarados a los dos días.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dura entre 2 y 3 semanas con brillo de primer día.</li><li>Se seca en lámpara al instante: no hay riesgo de arruinarla buscando las llaves.</li><li>Color intenso y parejo, con acabado de gel.</li><li>Suma resistencia a la uña natural mientras lo llevás puesto.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Preparación: empujá cutícula, limá el brillo de la superficie y deshidratá la uña.</li><li>Aplicá base y curá en lámpara UV/LED el tiempo que indique el fabricante.</li><li>Aplicá dos capas finas de color, curando entre cada una.</li><li>Sellá con top coat, curá y retirá la capa pegajosa con limpiador si el producto lo requiere.</li></ol><p><strong>Ideal para:</strong> manicura de larga duración y trabajo profesional.</p><p><strong>Tip Krika:</strong> Capas finas siempre: una capa gruesa no cura bien por dentro y se levanta a los pocos días.</p><p><strong>Información del fabricante</strong></p><p>-Formulación 10 free.</p><p>-Seca en 60 segundos en la lámpara UV LED.</p><p>-Alta pigmentación.</p><p>-Hasta 30 días de duración.</p><p>-Fácil aplicación: Textura homogénea, fácil de aplicar y nivelar, sin recogimiento.</p><p>-Fácil Remoción: Remueve aproximadamente en 10 minutos sin maltratar la lámina de la uña.</p><p>-Brocha plana.</p><p>-No requiere preparadores. (Ni limpiador del sistema, ni Balanceador de Ph, ni Ultrabond).</p>",Title,Default Title
esmalte-masglox7ml-semi-virginal,ESMALTE MASGLOx7ml SEMIPERMANENTE VIRGINAL,"<p><strong>Esmalte Masglo 7 ml Semipermanente Virginal</strong></p><p>Este esmalte semipermanente de Masglo de la línea Semipermanente Virginal en presentación de 7 ml mantiene color y brillo de salón durante semanas, sin descascarados a los dos días.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dura entre 2 y 3 semanas con brillo de primer día.</li><li>Se seca en lámpara al instante: no hay riesgo de arruinarla buscando las llaves.</li><li>Color intenso y parejo, con acabado de gel.</li><li>Suma resistencia a la uña natural mientras lo llevás puesto.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Preparación: empujá cutícula, limá el brillo de la superficie y deshidratá la uña.</li><li>Aplicá base y curá en lámpara UV/LED el tiempo que indique el fabricante.</li><li>Aplicá dos capas finas de color, curando entre cada una.</li><li>Sellá con top coat, curá y retirá la capa pegajosa con limpiador si el producto lo requiere.</li></ol><p><strong>Ideal para:</strong> manicura de larga duración y trabajo profesional.</p><p><strong>Tip Krika:</strong> Capas finas siempre: una capa gruesa no cura bien por dentro y se levanta a los pocos días.</p><p><strong>Información del fabricante</strong></p><p>-Formulación 10 free.</p><p>-Seca en 60 segundos en la lámpara UV LED.</p><p>-Alta pigmentación.</p><p>-Hasta 30 días de duración.</p><p>-Fácil aplicación: Textura homogénea, fácil de aplicar y nivelar, sin recogimiento.</p><p>-Fácil Remoción: Remueve aproximadamente en 10 minutos sin maltratar la lámina de la uña.</p><p>-Brocha plana.</p><p>-No requiere preparadores. (Ni limpiador del sistema, ni Balanceador de Ph, ni Ultrabond).</p>",Title,Default Title
