Handle,Title,Body (HTML)
trata-cap-pontox100g-sachet-reparacion,TRATAMIENTO CAPILAR PONTOx100g SACHET REPARACION,"<p><strong>Tratamiento Capilar Ponto 100 g Sachet Reparacion</strong></p><p>Este tratamiento capilar de Ponto de la línea Sachet Reparacion en presentación de 100 g trabaja en profundidad sobre la fibra para devolverle cuerpo, suavidad y brillo.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Tratamiento intensivo: actúa donde el acondicionador diario no llega.</li><li>Recupera cabello castigado por plancha, secador, color o decoloración.</li><li>Mejora la textura de forma acumulativa: cada aplicación suma.</li><li>Deja la melena más pesada, brillante y fácil de manejar.</li><li>Acción reparadora sobre fibras dañadas por calor, color o químicos.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Lavá con shampoo y escurrí muy bien el exceso de agua.</li><li>Aplicá de medios a puntas y distribuí con un peine de dientes anchos.</li><li>Dejá actuar entre 5 y 20 minutos según lo dañado que esté el cabello.</li><li>Enjuagá abundantemente. Repetí una o dos veces por semana.</li></ol><p><strong>Ideal para:</strong> cabello seco, poroso, teñido o con daño por calor.</p><p><strong>Tip Krika:</strong> Envolvé la cabeza en una toalla tibia mientras actúa: el calor abre la cutícula y el tratamiento penetra mejor.</p>"
gel-cap-pontox100ml-crespos,GEL CAPILAR PONTOx100ml CRESPOS,"<p><strong>Gel Capilar Ponto 100 ml Crespos</strong></p><p>Este producto de styling de Ponto de la línea Crespos en presentación de 100 ml define, fija y da textura al peinado con el nivel de control que elijas.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Define la forma y la mantiene durante horas.</li><li>Se puede reactivar con los dedos para retocar sin volver a aplicar.</li><li>Da textura visible, ideal para cortes con capas o peinados desordenados a propósito.</li><li>Se retira fácil con el lavado habitual.</li><li>Pensado para cabello rizado y ondulado: define sin apelmazar.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Tomá una cantidad pequeña y calentala entre las palmas.</li><li>Aplicá sobre cabello seco o apenas húmedo, empezando por la nuca.</li><li>Modelá con los dedos hasta conseguir la forma.</li><li>Sumá producto de a poco si necesitás más fijación.</li></ol><p><strong>Ideal para:</strong> peinados definidos, cortes masculinos y texturizados.</p><p><strong>Tip Krika:</strong> Menos producto y bien repartido fija mejor que mucho producto en un solo punto.</p>"
shamp-pontox100ml-crespos,SHAMPOO PONTOx100ml CRESPOS,"<p><strong>Shampoo Ponto 100 ml Crespos</strong></p><p>Este shampoo de Ponto de la línea Crespos en presentación de 100 ml limpia a fondo sin dejar el pelo áspero ni el cuero cabelludo tirante.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Arrastra grasa, residuo de producto y contaminación sin llevarse la hidratación que el pelo necesita.</li><li>Espuma abundante y fácil de enjuagar: no quedan restos que apaguen el brillo.</li><li>Deja el cabello manejable desde el lavado, así el peinado después cuesta menos.</li><li>Apto para uso frecuente dentro de una rutina completa de lavado y acondicionado.</li><li>Pensado para cabello rizado y ondulado: define sin apelmazar.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Mojá el cabello con agua tibia, nunca muy caliente.</li><li>Aplicá una porción del tamaño de una moneda y masajeá el cuero cabelludo con las yemas, no con las uñas.</li><li>Dejá actuar 1 o 2 minutos y enjuagá hasta que el agua salga limpia.</li><li>Repetí solo si el cabello estaba muy cargado de producto.</li></ol><p><strong>Ideal para:</strong> rutina de lavado de cualquier tipo de cabello, ajustando la frecuencia a tu cuero cabelludo.</p><p><strong>Tip Krika:</strong> Terminá el último enjuague con agua fría: sella la cutícula y el brillo se nota al instante.</p>"
gel-cap-pontox500g-felizmente-crespa,GEL CAPILAR PONTOx500g FELIZMENTE CRESPA,"<p><strong>Gel Capilar Ponto 500 g Felizmente Crespa</strong></p><p>Este producto de styling de Ponto de la línea Felizmente Crespa en presentación de 500 g define, fija y da textura al peinado con el nivel de control que elijas.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Define la forma y la mantiene durante horas.</li><li>Se puede reactivar con los dedos para retocar sin volver a aplicar.</li><li>Da textura visible, ideal para cortes con capas o peinados desordenados a propósito.</li><li>Se retira fácil con el lavado habitual.</li><li>Formato grande de 500 g, pensado para uso frecuente sin quedarte a mitad de camino.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Tomá una cantidad pequeña y calentala entre las palmas.</li><li>Aplicá sobre cabello seco o apenas húmedo, empezando por la nuca.</li><li>Modelá con los dedos hasta conseguir la forma.</li><li>Sumá producto de a poco si necesitás más fijación.</li></ol><p><strong>Ideal para:</strong> peinados definidos, cortes masculinos y texturizados.</p><p><strong>Tip Krika:</strong> Menos producto y bien repartido fija mejor que mucho producto en un solo punto.</p>"
gel-cap-pontox500g-afro-hold,GEL CAPILAR PONTOx500g AFRO HOLD,"<p><strong>Gel Capilar Ponto 500 g Afro Hold</strong></p><p>Este producto de styling de Ponto de la línea Afro Hold en presentación de 500 g define, fija y da textura al peinado con el nivel de control que elijas.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Define la forma y la mantiene durante horas.</li><li>Se puede reactivar con los dedos para retocar sin volver a aplicar.</li><li>Da textura visible, ideal para cortes con capas o peinados desordenados a propósito.</li><li>Se retira fácil con el lavado habitual.</li><li>Formato grande de 500 g, pensado para uso frecuente sin quedarte a mitad de camino.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Tomá una cantidad pequeña y calentala entre las palmas.</li><li>Aplicá sobre cabello seco o apenas húmedo, empezando por la nuca.</li><li>Modelá con los dedos hasta conseguir la forma.</li><li>Sumá producto de a poco si necesitás más fijación.</li></ol><p><strong>Ideal para:</strong> peinados definidos, cortes masculinos y texturizados.</p><p><strong>Tip Krika:</strong> Menos producto y bien repartido fija mejor que mucho producto en un solo punto.</p>"
gel-cap-pontox500g-que-onda,GEL CAPILAR PONTOx500g QUE ONDA,"<p><strong>Gel Capilar Ponto 500 g Que Onda</strong></p><p>Este producto de styling de Ponto de la línea Que Onda en presentación de 500 g define, fija y da textura al peinado con el nivel de control que elijas.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Define la forma y la mantiene durante horas.</li><li>Se puede reactivar con los dedos para retocar sin volver a aplicar.</li><li>Da textura visible, ideal para cortes con capas o peinados desordenados a propósito.</li><li>Se retira fácil con el lavado habitual.</li><li>Formato grande de 500 g, pensado para uso frecuente sin quedarte a mitad de camino.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Tomá una cantidad pequeña y calentala entre las palmas.</li><li>Aplicá sobre cabello seco o apenas húmedo, empezando por la nuca.</li><li>Modelá con los dedos hasta conseguir la forma.</li><li>Sumá producto de a poco si necesitás más fijación.</li></ol><p><strong>Ideal para:</strong> peinados definidos, cortes masculinos y texturizados.</p><p><strong>Tip Krika:</strong> Menos producto y bien repartido fija mejor que mucho producto en un solo punto.</p>"
alizadora-pontox60ml-monalisisima,ALIZADORA PONTOx60ml MONALISISIMA,"<p><strong>Alizadora Ponto 60 ml Monalisisima</strong></p><p>Este producto alisador de Ponto de la línea Monalisisima en presentación de 60 ml ayuda a conseguir un liso más duradero y con mejor acabado.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Reduce el volumen y el frizz de forma notoria.</li><li>Facilita muchísimo el planchado posterior: menos pasadas, menos daño.</li><li>Deja el cabello más brillante y ordenado.</li><li>El efecto se mantiene varios lavados según el tipo de cabello.</li><li>Tamaño de 60 ml: entra en cualquier neceser y viaja sin problema.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Leé con atención las instrucciones del fabricante antes de empezar.</li><li>Hacé siempre una prueba de mecha en una zona poco visible.</li><li>Aplicá por secciones sobre cabello limpio y seco, respetando el tiempo indicado.</li><li>Enjuagá y completá el proceso según indique el envase.</li></ol><p><strong>Ideal para:</strong> cabello con mucho volumen o frizz que busca un liso duradero.</p><p><strong>Tip Krika:</strong> Si nunca hiciste un alisado, hacelo con un profesional la primera vez y mantenelo en casa después.</p>"
cera-cap-pontox75g-stick,CERA CAPILAR PONTOx75g STICK,"<p><strong>Cera Capilar Ponto 75 g Stick</strong></p><p>Este producto de styling de Ponto de la línea Stick en presentación de 75 g define, fija y da textura al peinado con el nivel de control que elijas.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Define la forma y la mantiene durante horas.</li><li>Se puede reactivar con los dedos para retocar sin volver a aplicar.</li><li>Da textura visible, ideal para cortes con capas o peinados desordenados a propósito.</li><li>Se retira fácil con el lavado habitual.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Tomá una cantidad pequeña y calentala entre las palmas.</li><li>Aplicá sobre cabello seco o apenas húmedo, empezando por la nuca.</li><li>Modelá con los dedos hasta conseguir la forma.</li><li>Sumá producto de a poco si necesitás más fijación.</li></ol><p><strong>Ideal para:</strong> peinados definidos, cortes masculinos y texturizados.</p><p><strong>Tip Krika:</strong> Menos producto y bien repartido fija mejor que mucho producto en un solo punto.</p>"
crema-peinar-pontox300ml-afro,CREMA PARA PEINAR PONTOx300ml AFRO,"<p><strong>Crema Para Peinar Ponto 300 ml Afro</strong></p><p>Esta crema para peinar de Ponto de la línea Afro en presentación de 300 ml desenreda, define y controla el frizz sin necesidad de enjuagar.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Sin enjuague: desenreda al momento y sigue trabajando todo el día.</li><li>Define la forma natural del cabello sin dejarlo duro ni acartonado.</li><li>Reduce la rotura al peinar, sobre todo en cabello mojado.</li><li>Sirve como base antes del secador o para refrescar el peinado al día siguiente.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Sobre cabello húmedo y escurrido, tomá una porción según el largo.</li><li>Repartí de medios a puntas con las manos.</li><li>Desenredá con peine de dientes anchos.</li><li>Dejá secar al aire o secá con difusor.</li></ol><p><strong>Ideal para:</strong> cabello rizado, ondulado o con tendencia al frizz.</p><p><strong>Tip Krika:</strong> Aplicala con el pelo bien mojado y &quot;amasando&quot; los rizos: así se definen mucho mejor.</p>"
crema-peinar-pontox300ml-onducrespo,CREMA PARA PEINAR PONTOx300ml ONDU/CRESPO,"<p><strong>Crema Para Peinar Ponto 300 ml ONDU/CRESPO</strong></p><p>Esta crema para peinar de Ponto de la línea ONDU/CRESPO en presentación de 300 ml desenreda, define y controla el frizz sin necesidad de enjuagar.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Sin enjuague: desenreda al momento y sigue trabajando todo el día.</li><li>Define la forma natural del cabello sin dejarlo duro ni acartonado.</li><li>Reduce la rotura al peinar, sobre todo en cabello mojado.</li><li>Sirve como base antes del secador o para refrescar el peinado al día siguiente.</li><li>Pensado para cabello rizado y ondulado: define sin apelmazar.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Sobre cabello húmedo y escurrido, tomá una porción según el largo.</li><li>Repartí de medios a puntas con las manos.</li><li>Desenredá con peine de dientes anchos.</li><li>Dejá secar al aire o secá con difusor.</li></ol><p><strong>Ideal para:</strong> cabello rizado, ondulado o con tendencia al frizz.</p><p><strong>Tip Krika:</strong> Aplicala con el pelo bien mojado y &quot;amasando&quot; los rizos: así se definen mucho mejor.</p>"
