Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Shop location
90s-baby-satin-mini-dress-white,90s Baby Satin Mini Dress Black,Size,US 0,Color,Black,,,138911-1273007,,,900
90s-baby-satin-mini-dress-white,90s Baby Satin Mini Dress Black,Size,US 2,Color,Black,,,138911-1273008,,,900
90s-baby-satin-mini-dress-white,90s Baby Satin Mini Dress Black,Size,US 4,Color,Black,,,138911-1273009,,,900
90s-baby-satin-mini-dress-white,90s Baby Satin Mini Dress Black,Size,US 6,Color,Black,,,138911-1273010,,,900
90s-baby-satin-mini-dress-white,90s Baby Satin Mini Dress Black,Size,US 8,Color,Black,,,138911-1273011,,,900
90s-baby-satin-mini-dress-white,90s Baby Satin Mini Dress Black,Size,US 10,Color,Black,,,138911-1273012,,,900
90s-baby-satin-mini-dress-white,90s Baby Satin Mini Dress Black,Size,US 12,Color,Black,,,138911-1273013,,,900
a-kiss-mini-dress-white,A Kiss Mini Dress White,Size,US 0,Color,White,,,135631-1253137,,,900
a-kiss-mini-dress-white,A Kiss Mini Dress White,Size,US 2,Color,White,,,135631-1253138,,,900
a-kiss-mini-dress-white,A Kiss Mini Dress White,Size,US 4,Color,White,,,135631-1253139,,,900
a-kiss-mini-dress-white,A Kiss Mini Dress White,Size,US 6,Color,White,,,135631-1253140,,,900
a-kiss-mini-dress-white,A Kiss Mini Dress White,Size,US 8,Color,White,,,135631-1253141,,,900
a-kiss-mini-dress-white,A Kiss Mini Dress White,Size,US 10,Color,White,,,135631-1253142,,,900
a-kiss-mini-dress-white,A Kiss Mini Dress White,Size,US 12,Color,White,,,135631-1253143,,,900
a-list-halter-cowl-neck-mini-dress-chocolate,A-list Halter Cowl Neck Mini Dress Chocolate,Size,US 0,Color,Chocolate,,,149507-1338801,,,900
a-list-halter-cowl-neck-mini-dress-chocolate,A-list Halter Cowl Neck Mini Dress Chocolate,Size,US 2,Color,Chocolate,,,149507-1338802,,,900
a-list-halter-cowl-neck-mini-dress-chocolate,A-list Halter Cowl Neck Mini Dress Chocolate,Size,US 4,Color,Chocolate,,,149507-1338803,,,900
a-list-halter-cowl-neck-mini-dress-chocolate,A-list Halter Cowl Neck Mini Dress Chocolate,Size,US 6,Color,Chocolate,,,149507-1338804,,,900
a-list-halter-cowl-neck-mini-dress-chocolate,A-list Halter Cowl Neck Mini Dress Chocolate,Size,US 8,Color,Chocolate,,,149507-1338805,,,900
a-list-halter-cowl-neck-mini-dress-chocolate,A-list Halter Cowl Neck Mini Dress Chocolate,Size,US 10,Color,Chocolate,,,149507-1338806,,,900
a-list-halter-cowl-neck-mini-dress-chocolate,A-list Halter Cowl Neck Mini Dress Chocolate,Size,US 12,Color,Chocolate,,,149507-1338807,,,900
a-list-halter-cowl-neck-mini-dress-plum,A-list Halter Cowl Neck Mini Dress Plum,Size,US 0,Color,Plum,,,153060-1360401,,,900
a-list-halter-cowl-neck-mini-dress-plum,A-list Halter Cowl Neck Mini Dress Plum,Size,US 2,Color,Plum,,,153060-1360402,,,900
a-list-halter-cowl-neck-mini-dress-plum,A-list Halter Cowl Neck Mini Dress Plum,Size,US 4,Color,Plum,,,153060-1360403,,,900
a-list-halter-cowl-neck-mini-dress-plum,A-list Halter Cowl Neck Mini Dress Plum,Size,US 6,Color,Plum,,,153060-1360404,,,900
a-list-halter-cowl-neck-mini-dress-plum,A-list Halter Cowl Neck Mini Dress Plum,Size,US 8,Color,Plum,,,153060-1360405,,,900
a-list-halter-cowl-neck-mini-dress-plum,A-list Halter Cowl Neck Mini Dress Plum,Size,US 10,Color,Plum,,,153060-1360406,,,900
a-list-halter-cowl-neck-mini-dress-plum,A-list Halter Cowl Neck Mini Dress Plum,Size,US 12,Color,Plum,,,153060-1360407,,,900
a-vision-hardware-detail-maxi-dress-blue,A Vision Hardware Detail Maxi Dress Blue,Size,US 0,Color,Blue,,,146353-1319513,,,900
a-vision-hardware-detail-maxi-dress-blue,A Vision Hardware Detail Maxi Dress Blue,Size,US 2,Color,Blue,,,146353-1319514,,,900
a-vision-hardware-detail-maxi-dress-blue,A Vision Hardware Detail Maxi Dress Blue,Size,US 4,Color,Blue,,,146353-1319515,,,900
a-vision-hardware-detail-maxi-dress-blue,A Vision Hardware Detail Maxi Dress Blue,Size,US 6,Color,Blue,,,146353-1319516,,,900
a-vision-hardware-detail-maxi-dress-blue,A Vision Hardware Detail Maxi Dress Blue,Size,US 8,Color,Blue,,,146353-1319517,,,900
a-vision-hardware-detail-maxi-dress-blue,A Vision Hardware Detail Maxi Dress Blue,Size,US 10,Color,Blue,,,146353-1319518,,,900
a-vision-hardware-detail-maxi-dress-blue,A Vision Hardware Detail Maxi Dress Blue,Size,US 12,Color,Blue,,,146353-1319519,,,900
abdul-mini-dress-wine,Abdul Mini Dress Wine,Size,US 0,Color,Wine,,,140977-1286560,,,900
abdul-mini-dress-wine,Abdul Mini Dress Wine,Size,US 2,Color,Wine,,,140977-1286561,,,900
abdul-mini-dress-wine,Abdul Mini Dress Wine,Size,US 4,Color,Wine,,,140977-1286562,,,900
abdul-mini-dress-wine,Abdul Mini Dress Wine,Size,US 6,Color,Wine,,,140977-1286563,,,900
abdul-mini-dress-wine,Abdul Mini Dress Wine,Size,US 8,Color,Wine,,,140977-1286564,,,900
abdul-mini-dress-wine,Abdul Mini Dress Wine,Size,US 10,Color,Wine,,,140977-1286565,,,900
abdul-mini-dress-wine,Abdul Mini Dress Wine,Size,US 12,Color,Wine,,,140977-1286566,,,900
abdul-mini-dress-wine,Abdul Mini Dress Wine,Size,US 14,Color,Wine,,,140977-1286567,,,900
abdul-mini-dress-wine,Abdul Mini Dress Wine,Size,US 16,Color,Wine,,,140977-1286568,,,900
abdul-mini-dress-wine,Abdul Mini Dress Wine,Size,US 18,Color,Wine,,,140977-1286569,,,900
abdul-mini-dress-wine,Abdul Mini Dress Wine,Size,US 20,Color,Wine,,,140977-1286570,,,900
abeila-strapless-maxi-dress-burgundy,Abeila Strapless Maxi Dress Burgundy,Size,US 0,Color,Burgundy,,,135617-1253039,,,900
abeila-strapless-maxi-dress-burgundy,Abeila Strapless Maxi Dress Burgundy,Size,US 2,Color,Burgundy,,,135617-1253040,,,900
abeila-strapless-maxi-dress-burgundy,Abeila Strapless Maxi Dress Burgundy,Size,US 4,Color,Burgundy,,,135617-1253041,,,900
abeila-strapless-maxi-dress-burgundy,Abeila Strapless Maxi Dress Burgundy,Size,US 6,Color,Burgundy,,,135617-1253042,,,900
abeila-strapless-maxi-dress-burgundy,Abeila Strapless Maxi Dress Burgundy,Size,US 8,Color,Burgundy,,,135617-1253043,,,900
abeila-strapless-maxi-dress-burgundy,Abeila Strapless Maxi Dress Burgundy,Size,US 10,Color,Burgundy,,,135617-1253044,,,900
abeila-strapless-maxi-dress-burgundy,Abeila Strapless Maxi Dress Burgundy,Size,US 12,Color,Burgundy,,,135617-1253045,,,900
abeila-strapless-maxi-dress-pink,Abeila Strapless Maxi Dress Pink,Size,US 0,Color,Pink,,,138643-1271432,,,900
abeila-strapless-maxi-dress-pink,Abeila Strapless Maxi Dress Pink,Size,US 2,Color,Pink,,,138643-1271433,,,900
abeila-strapless-maxi-dress-pink,Abeila Strapless Maxi Dress Pink,Size,US 4,Color,Pink,,,138643-1271434,,,900
abeila-strapless-maxi-dress-pink,Abeila Strapless Maxi Dress Pink,Size,US 6,Color,Pink,,,138643-1271435,,,900
abeila-strapless-maxi-dress-pink,Abeila Strapless Maxi Dress Pink,Size,US 8,Color,Pink,,,138643-1271436,,,900
abeila-strapless-maxi-dress-pink,Abeila Strapless Maxi Dress Pink,Size,US 10,Color,Pink,,,138643-1271437,,,900
abeila-strapless-maxi-dress-pink,Abeila Strapless Maxi Dress Pink,Size,US 12,Color,Pink,,,138643-1271438,,,900
abeila-strapless-maxi-dress-pink-multi,Abeila Strapless Maxi Dress Pink Multi,Size,US 0,Color,Pink Multi,,,126288-1198420,,,900
abeila-strapless-maxi-dress-pink-multi,Abeila Strapless Maxi Dress Pink Multi,Size,US 2,Color,Pink Multi,,,126288-1198421,,,900
abeila-strapless-maxi-dress-pink-multi,Abeila Strapless Maxi Dress Pink Multi,Size,US 4,Color,Pink Multi,,,126288-1198422,,,900
abeila-strapless-maxi-dress-pink-multi,Abeila Strapless Maxi Dress Pink Multi,Size,US 6,Color,Pink Multi,,,126288-1198423,,,900
abeila-strapless-maxi-dress-pink-multi,Abeila Strapless Maxi Dress Pink Multi,Size,US 8,Color,Pink Multi,,,126288-1198424,,,900
abeila-strapless-maxi-dress-pink-multi,Abeila Strapless Maxi Dress Pink Multi,Size,US 10,Color,Pink Multi,,,126288-1198425,,,900
abeila-strapless-maxi-dress-pink-multi,Abeila Strapless Maxi Dress Pink Multi,Size,US 12,Color,Pink Multi,,,126288-1198426,,,900
abigaia-v-neck-mini-dress-brown-paisley,Abigaia V Neck Mini Dress Brown Paisley,Size,US 0,Color,Brown Paisley,,,151711-1352219,,,900
abigaia-v-neck-mini-dress-brown-paisley,Abigaia V Neck Mini Dress Brown Paisley,Size,US 2,Color,Brown Paisley,,,151711-1352220,,,900
abigaia-v-neck-mini-dress-brown-paisley,Abigaia V Neck Mini Dress Brown Paisley,Size,US 4,Color,Brown Paisley,,,151711-1352221,,,900
abigaia-v-neck-mini-dress-brown-paisley,Abigaia V Neck Mini Dress Brown Paisley,Size,US 6,Color,Brown Paisley,,,151711-1352222,,,900
abigaia-v-neck-mini-dress-brown-paisley,Abigaia V Neck Mini Dress Brown Paisley,Size,US 8,Color,Brown Paisley,,,151711-1352223,,,900
abigaia-v-neck-mini-dress-brown-paisley,Abigaia V Neck Mini Dress Brown Paisley,Size,US 10,Color,Brown Paisley,,,151711-1352224,,,900
abigaia-v-neck-mini-dress-brown-paisley,Abigaia V Neck Mini Dress Brown Paisley,Size,US 12,Color,Brown Paisley,,,151711-1352225,,,900
abigaille-strapless-bubble-hem-mini-dress-check,Abigaille Strapless Bubble Hem Mini Dress Check,Size,US 0,Color,Check,,,141426-1289575,,,900
abigaille-strapless-bubble-hem-mini-dress-check,Abigaille Strapless Bubble Hem Mini Dress Check,Size,US 2,Color,Check,,,141426-1289576,,,900
abigaille-strapless-bubble-hem-mini-dress-check,Abigaille Strapless Bubble Hem Mini Dress Check,Size,US 4,Color,Check,,,141426-1289577,,,900
abigaille-strapless-bubble-hem-mini-dress-check,Abigaille Strapless Bubble Hem Mini Dress Check,Size,US 6,Color,Check,,,141426-1289578,,,900
abigaille-strapless-bubble-hem-mini-dress-check,Abigaille Strapless Bubble Hem Mini Dress Check,Size,US 8,Color,Check,,,141426-1289579,,,900
abigaille-strapless-bubble-hem-mini-dress-check,Abigaille Strapless Bubble Hem Mini Dress Check,Size,US 10,Color,Check,,,141426-1289580,,,900
abigaille-strapless-bubble-hem-mini-dress-check,Abigaille Strapless Bubble Hem Mini Dress Check,Size,US 12,Color,Check,,,141426-1289581,,,900
about-a-girl-maxi-dress-chocolate,About A Girl Maxi Dress Chocolate,Size,US 0,Color,Chocolate,,,133632-1241338,,,900
about-a-girl-maxi-dress-chocolate,About A Girl Maxi Dress Chocolate,Size,US 2,Color,Chocolate,,,133632-1241339,,,900
about-a-girl-maxi-dress-chocolate,About A Girl Maxi Dress Chocolate,Size,US 4,Color,Chocolate,,,133632-1241340,,,900
about-a-girl-maxi-dress-chocolate,About A Girl Maxi Dress Chocolate,Size,US 6,Color,Chocolate,,,133632-1241341,,,900
