Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
90s-baby-satin-mini-dress-white,90s Baby Satin Mini Dress Black,"<p>The 90s Baby is our take on the satin mini dress — quietly striking in black, and comfortable enough to wear all evening.</p><p>The fabric holds its shape with no stretch and the bodice is lined.</p><p>Part of our ongoing move toward reclaimed and recycled fabrics.</p><p><strong>Details</strong></p><ul><li>Satin Mini dress</li><li>Square neckline, fixed straps, relaxed fitting</li><li>No stretch, Part-lined</li><li>100% reclaimed polyester</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li><li>Care: Cold hand wash.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Mini Dresses,"Birthday Dresses, Black Dresses, Dresses, Going Out Dresses, New Dresses, Satin Dresses",TRUE,Size,US 0,Color,Black,,,138911-1273007,0,shopify,999,deny,manual,72.95,,TRUE,TRUE,FALSE,90s Baby Satin Mini Dress Black,90s Baby — Black satin mini dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
90s-baby-satin-mini-dress-white,,,,,,,,Size,US 2,Color,Black,,,138911-1273008,0,shopify,999,deny,manual,72.95,,TRUE,TRUE,,,,
90s-baby-satin-mini-dress-white,,,,,,,,Size,US 4,Color,Black,,,138911-1273009,0,shopify,999,deny,manual,72.95,,TRUE,TRUE,,,,
90s-baby-satin-mini-dress-white,,,,,,,,Size,US 6,Color,Black,,,138911-1273010,0,shopify,999,deny,manual,72.95,,TRUE,TRUE,,,,
90s-baby-satin-mini-dress-white,,,,,,,,Size,US 8,Color,Black,,,138911-1273011,0,shopify,999,deny,manual,72.95,,TRUE,TRUE,,,,
90s-baby-satin-mini-dress-white,,,,,,,,Size,US 10,Color,Black,,,138911-1273012,0,shopify,999,deny,manual,72.95,,TRUE,TRUE,,,,
90s-baby-satin-mini-dress-white,,,,,,,,Size,US 12,Color,Black,,,138911-1273013,0,shopify,999,deny,manual,72.95,,TRUE,TRUE,,,,
a-kiss-mini-dress-white,A Kiss Mini Dress White,"<p>The A Kiss takes a mini dress and gives it a clean, confident line in white.</p><p>The fabric holds its shape with no stretch and it&#x27;s fully lined.</p><p>Keep it for easy everyday wear.</p><p><strong>Details</strong></p><ul><li>Mini dress</li><li>Elasticated straps, invisible zip fastening at side</li><li>No stretch, Fully lined</li><li>Main: 100% cotton - Lining: 100% rayon</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li><li>Care: Cold machine wash.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Mini Dresses,"Casual Dresses, Dresses, New Dresses, White Dresses",TRUE,Size,US 0,Color,White,,,135631-1253137,0,shopify,999,deny,manual,76.95,,TRUE,TRUE,FALSE,A Kiss Mini Dress White,A Kiss — White mini dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
a-kiss-mini-dress-white,,,,,,,,Size,US 2,Color,White,,,135631-1253138,0,shopify,999,deny,manual,76.95,,TRUE,TRUE,,,,
a-kiss-mini-dress-white,,,,,,,,Size,US 4,Color,White,,,135631-1253139,0,shopify,999,deny,manual,76.95,,TRUE,TRUE,,,,
