Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-monsters-pin-for-love-series-vinyl-plush-pendant-blind-box-n-z,THE MONSTERS Pin for Love Series-Vinyl Plush Pendant Blind Box (N-Z),"<p>Spell it out in mischief. The <strong>Pin for Love</strong> pendants (N–Z) turn the alphabet into a pocket-sized cast of THE MONSTERS, each letter reimagined as its own toothy little character ready to clip onto a bag, keyring or jacket.</p><ul><li>Soft vinyl face paired with a plush body</li><li>Built-in clasp for bags, keys and lanyards</li><li>Blind box — your letter is a surprise until you open it</li><li>Letters N through Z in this assortment</li></ul><p>Collect your initials, your crew, or chase the full word.</p>",The Moon Toys,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Stuffed Animals",,,true,Size,Single Box,,,,,,,,,0.0,shopify,9991,deny,manual,30.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_954284____single-1_____1200x1200_86f0d8f3-6ee9-45ab-a331-ec474d57df7a.jpg?v=1763312433,1,THE MONSTERS Pin for Love Series-Vinyl Plush Pendant Blind Box (N-Z) | The Moon Toys,false,THE MONSTERS Pin for Love Series | The Moon Toys,"Pin for Love (N–Z) THE MONSTERS plush pendant blind box. Clip-on vinyl charms, mystery letter inside. Shop The Moon Toys.",,https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_954284____single-1_____1200x1200_86f0d8f3-6ee9-45ab-a331-ec474d57df7a.jpg?v=1763312433,kg,,,active
the-monsters-pin-for-love-series-vinyl-plush-pendant-blind-box-n-z,,,The Moon Toys,,,,,,Whole Set,,,,,,,,,0.0,shopify,9999,deny,manual,280.00,350.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_929922____wholes-1_____1200x1200_926cc2dd-7bb1-4cab-af6b-959fb29b326e.jpg?v=1763312433,2,THE MONSTERS Pin for Love Series-Vinyl Plush Pendant Blind Box (N-Z) – view 2 | The Moon Toys,,,,,https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_929922____wholes-1_____1200x1200_926cc2dd-7bb1-4cab-af6b-959fb29b326e.jpg?v=1763312433,kg,,,
the-monsters-pin-for-love-series-vinyl-plush-pendant-blind-box-n-z,,,The Moon Toys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_929753____1_them-1_____1200x1200_51a055c9-c258-4825-9f18-3b17d80abb3a.jpg?v=1763312433,3,THE MONSTERS Pin for Love Series-Vinyl Plush Pendant Blind Box (N-Z) – view 3 | The Moon Toys,,,,,,,,,
the-monsters-pin-for-love-series-vinyl-plush-pendant-blind-box-n-z,,,The Moon Toys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_185312____scene_-1_____1200x1200_ab7d5c26-2e06-4fc4-80ba-02d86962d09f.jpg?v=1763312433,4,THE MONSTERS Pin for Love Series-Vinyl Plush Pendant Blind Box (N-Z) – view 4 | The Moon Toys,,,,,,,,,
the-monsters-pin-for-love-series-vinyl-plush-pendant-blind-box-n-z,,,The Moon Toys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_738271____2_them-1_____1200x1200_83854c03-db35-41f9-a81c-907f0470fad3.jpg?v=1763312433,5,THE MONSTERS Pin for Love Series-Vinyl Plush Pendant Blind Box (N-Z) – view 5 | The Moon Toys,,,,,,,,,
the-monsters-pin-for-love-series-vinyl-plush-pendant-blind-box-n-z,,,The Moon Toys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_827654____3_them-1_____1200x1200_f9dc3145-64cd-4de6-b906-a8cd36595c28.jpg?v=1763312433,6,THE MONSTERS Pin for Love Series-Vinyl Plush Pendant Blind Box (N-Z) – view 6 | The Moon Toys,,,,,,,,,
the-monsters-catch-me-if-you-like-me-series-vinyl-doll-gift-box,THE MONSTERS Catch Me If You Like Me Series-Vinyl Doll Gift Box,"<p>A little flirty, a lot collectible. <strong>Catch Me If You Like Me</strong> arrives as a display-ready vinyl doll in a presentation gift box — the kind of piece that anchors a shelf rather than hides in a drawer.</p><ul><li>Sculpted vinyl figure with signature grin and detailed finish</li><li>Premium gift box, ideal for gifting or pristine display</li><li>Statement size for collectors of the series</li></ul><p>One to keep boxed, or one to set free on the shelf — your call.</p>",The Moon Toys,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls",,,true,Title,Default Title,,,,,,,,,0.0,shopify,9995,deny,manual,99.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240111_092846_135210__1200x1200_705bcd89-825c-46f6-b8fb-9930b5ccaf1b.jpg?v=1763312325,1,THE MONSTERS Catch Me If You Like Me Series-Vinyl Doll Gift Box | The Moon Toys,false,THE MONSTERS Catch Me If You Like Me Series | The Moon Toys,Catch Me If You Like Me vinyl doll in a premium gift box. Display-ready THE MONSTERS collectible at The Moon Toys.,,,kg,,,active
the-monsters-catch-me-if-you-like-me-series-vinyl-doll-gift-box,,,The Moon Toys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240111_092846_913577__1200x1200_21c0fde7-4a02-4a48-99c8-d19b9bd99205.jpg?v=1763312325,2,THE MONSTERS Catch Me If You Like Me Series-Vinyl Doll Gift Box – view 2 | The Moon Toys,,,,,,,,,
the-monsters-catch-me-if-you-like-me-series-vinyl-doll-gift-box,,,The Moon Toys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240112_105501_114302__1200x1200_e9f08f71-87c0-463c-9e2b-b480f475ad2d.jpg?v=1763312325,3,THE MONSTERS Catch Me If You Like Me Series-Vinyl Doll Gift Box – view 3 | The Moon Toys,,,,,,,,,
the-monsters-catch-me-if-you-like-me-series-vinyl-doll-gift-box,,,The Moon Toys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240112_105501_587265__1200x1200_106a53e4-a9e3-4e10-88a9-36d01a2d5893.jpg?v=1763312325,4,THE MONSTERS Catch Me If You Like Me Series-Vinyl Doll Gift Box – view 4 | The Moon Toys,,,,,,,,,
